epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,714.124,0.58157,1.22951,0.63478,1.00097,0,0.68138,0.70937,0.71612,0.53755,0.67111,0.69948,0.69911,0.50784,0.88926,1.77793,1.07159,1.24014,0,0.00026422,0.00026422,0.00026422
87,871.291,0.58118,1.18876,0.61492,1.00171,0,0.70633,0.68242,0.71583,0.53813,0.7033,0.67982,0.70131,0.50755,0.89832,1.74279,1.04356,1.23533,0,0.000247716,0.000247716,0.000247716
86,2655.63,0.57276,1.21261,0.65169,0.99173,0,0.69279,0.68854,0.70161,0.5354,0.68337,0.68021,0.6919,0.49961,0.8989,1.85246,1.05959,1.23506,0,0.00026422,0.00026422,0.00026422
88,933.65,0.58621,1.19993,0.64253,0.99144,0,0.69133,0.71767,0.71595,0.54923,0.69163,0.71295,0.70692,0.51501,0.8785,1.74985,1.01095,1.20611,0,0.000231213,0.000231213,0.000231213
87,2719.42,0.57664,1.20889,0.65436,0.98271,0,0.74686,0.66462,0.71942,0.54249,0.73374,0.65467,0.70198,0.51023,0.89,1.81016,1.04667,1.21889,0,0.000247716,0.000247716,0.000247716
88,2775.69,0.57169,1.19597,0.62055,0.98192,0,0.71335,0.66042,0.70297,0.53795,0.73771,0.63542,0.6965,0.51168,0.87968,1.78682,1.08143,1.21803,0,0.000231213,0.000231213,0.000231213
89,1046.92,0.57,1.25576,0.65338,0.99505,0,0.63234,0.72188,0.69504,0.53612,0.62965,0.72347,0.69025,0.50495,0.87112,1.75573,1.06926,1.20929,0,0.00021471,0.00021471,0.00021471
90,1151.54,0.57212,1.22453,0.64262,0.99252,0,0.66247,0.69479,0.69977,0.54325,0.66207,0.69261,0.68915,0.50826,0.86276,1.70286,1.06223,1.21159,0,0.000198206,0.000198206,0.000198206
89,2950.43,0.59605,1.27131,0.67639,1.00287,0,0.73241,0.62917,0.70043,0.53622,0.67763,0.6724,0.69424,0.50522,0.88424,1.83889,1.0665,1.22927,0,0.00021471,0.00021471,0.00021471
90,3003.96,0.56805,1.17854,0.64912,0.98419,0,0.64346,0.70206,0.7015,0.53038,0.73682,0.62085,0.69583,0.49855,0.91503,1.83756,1.076,1.23533,0,0.000198206,0.000198206,0.000198206
